"","year","unitid","sex","ftpt","number_applied","number_admitted","number_enrolled","student_faculty_ratio","institution_level","subcohort","class_level","fed_aid_type","adj_cohort","completers_150pct","completion_rate_150pct","pell_adj_cohort","pell_6yr","total_adj_cohort","total_6yr"
"3379",2015,214023,"Total","Full-time",NA,NA,NA,8,"Less than four years","Total","First-time","Total",29,13,0,23,13,29,13
"3380",2015,214041,"Total","Full-time",NA,NA,1327,20,"Four or more years","Total","First-time","Total",1315,801,0,395,213,1315,801
"3381",2015,214069,"Total","Full-time",NA,NA,434,12,"Four or more years","Total","First-time","Total",375,279,0,107,71,375,279
"3382",2015,214111,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",1550,305,0,575,104,1550,305
"3383",2015,214148,"Total","Full-time",NA,NA,96,7,"Four or more years","Total","First-time","Total",84,48,0,39,19,84,48
"3384",2015,214157,"Total","Full-time",NA,NA,523,12,"Four or more years","Total","First-time","Total",373,259,0,123,88,373,259
"3385",2015,214166,"Total","Full-time",NA,NA,364,12,"Four or more years","Total","First-time","Total",354,136,0,191,65,354,136
"3386",2015,214175,"Total","Full-time",NA,NA,582,11,"Four or more years","Total","First-time","Total",603,502,0,42,38,603,502
"3387",2015,214254,"Total","Full-time",NA,NA,NA,49,"Less than four years","Total","First-time","Total",538,219,0,421,208,538,219
"3388",2015,214272,"Total","Full-time",NA,NA,401,13,"Four or more years","Total","First-time","Total",547,293,0,228,114,547,293
"3389",2015,214290,"Total","Full-time",NA,NA,262,22,"Less than four years","Total","First-time","Total",665,450,0,457,296,665,450
"3390",2015,214379,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",1496,313,0,803,137,1496,313
"3391",2015,214476,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",14,10,0,4,3,14,10
"3392",2015,214528,"Total","Full-time",NA,NA,79,13,"Less than four years","Total","First-time","Total",215,170,0,145,113,215,170
"3393",2015,214546,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",44,22,0,0,0,44,22
"3394",2015,214564,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3395",2015,214582,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",304,144,0,289,131,304,144
"3396",2015,214591,"Total","Full-time",NA,NA,1170,15,"Four or more years","Total","First-time","Total",1028,652,0,355,198,1028,652
"3397",2015,214607,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3398",2015,214616,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3399",2015,214625,"Total","Full-time",NA,NA,174,12,"Four or more years","Total","First-time","Total",224,110,0,97,45,224,110
"3400",2015,214634,"Total","Full-time",NA,NA,51,11,"Four or more years","Total","First-time","Total",102,33,0,73,20,102,33
"3401",2015,214643,"Total","Full-time",NA,NA,141,13,"Four or more years","Total","First-time","Total",208,96,0,85,35,208,96
"3402",2015,214652,"Total","Full-time",NA,NA,224,14,"Four or more years","Total","First-time","Total",359,140,0,195,69,359,140
"3403",2015,214661,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3404",2015,214670,"Total","Full-time",NA,NA,206,14,"Four or more years","Total","First-time","Total",274,157,0,118,59,274,157
"3405",2015,214689,"Total","Full-time",NA,NA,1375,16,"Four or more years","Total","First-time","Total",1440,967,0,474,267,1440,967
"3406",2015,214698,"Total","Full-time",NA,NA,209,16,"Four or more years","Total","First-time","Total",269,127,0,125,59,269,127
"3407",2015,214704,"Total","Full-time",NA,NA,784,17,"Four or more years","Total","First-time","Total",886,498,0,306,145,886,498
"3408",2015,214713,"Total","Full-time",NA,NA,853,15,"Four or more years","Total","First-time","Total",531,333,0,180,105,531,333
"3409",2015,214731,"Total","Full-time",NA,NA,369,15,"Four or more years","Total","First-time","Total",384,167,0,143,59,384,167
"3410",2015,214740,"Total","Full-time",NA,NA,162,11,"Four or more years","Total","First-time","Total",200,86,0,120,46,200,86
"3411",2015,214759,"Total","Full-time",NA,NA,190,12,"Four or more years","Total","First-time","Total",242,110,0,120,50,242,110
"3412",2015,214768,"Total","Full-time",NA,NA,261,13,"Four or more years","Total","First-time","Total",546,276,0,269,116,546,276
"3413",2015,214777,"Total","Full-time",NA,NA,7600,16,"Four or more years","Total","First-time","Total",7321,6262,0,1144,897,7321,6262
"3414",2015,214786,"Total","Full-time",NA,NA,158,11,"Four or more years","Total","First-time","Total",275,106,0,169,61,275,106
"3415",2015,214795,"Total","Full-time",NA,NA,238,11,"Four or more years","Total","First-time","Total",399,202,0,196,94,399,202
"3416",2015,214801,"Total","Full-time",NA,NA,863,18,"Four or more years","Total","First-time","Total",833,389,0,430,187,833,389
"3417",2015,214810,"Total","Full-time",NA,NA,214,13,"Four or more years","Total","First-time","Total",379,149,0,250,81,379,149
"3418",2015,214829,"Total","Full-time",NA,NA,309,15,"Four or more years","Total","First-time","Total",317,158,0,119,50,317,158
"3419",2015,214838,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3420",2015,214883,"Total","Full-time",NA,NA,NA,13,"Four or more years","Total","First-time","Total",19,4,0,12,4,19,4
"3421",2015,214892,"Total","Full-time",NA,NA,117,10,"Less than four years","Total","First-time","Total",115,109,0,84,82,115,109
"3422",2015,214944,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",403,288,0,274,194,403,288
"3423",2015,214962,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",75,43,0,30,30,75,43
"3424",2015,214971,"Total","Full-time",NA,NA,37,6,"Four or more years","Total","First-time","Total",39,21,0,14,10,39,21
"3425",2015,215008,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",36,36,1,19,19,36,36
"3426",2015,215026,"Total","Full-time",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3427",2015,215044,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",118,89,0,42,41,118,89
"3428",2015,215053,"Total","Full-time",NA,NA,69,11,"Four or more years","Total","First-time","Total",85,39,0,29,9,85,39
"3429",2015,215062,"Total","Full-time",NA,NA,2435,6,"Four or more years","Total","First-time","Total",2363,2251,0,366,333,2363,2251
"3430",2015,215099,"Total","Full-time",NA,NA,508,13,"Four or more years","Total","First-time","Total",702,409,0,221,121,702,409
"3431",2015,215105,"Total","Full-time",NA,NA,406,8,"Four or more years","Total","First-time","Total",505,313,0,159,91,505,313
"3432",2015,215114,"Total","Full-time",NA,NA,159,13,"Four or more years","Total","First-time","Total",141,86,0,79,45,141,86
"3433",2015,215123,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3434",2015,215132,"Total","Full-time",NA,NA,322,10,"Four or more years","Total","First-time","Total",467,325,0,141,92,467,325
"3435",2015,215239,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",1362,161,0,971,88,1362,161
"3436",2015,215266,"Total","Full-time",NA,NA,355,17,"Four or more years","Total","First-time","Total",348,174,0,156,70,348,174
"3437",2015,215275,"Total","Full-time",NA,NA,408,18,"Four or more years","Total","First-time","Total",409,239,0,166,83,409,239
"3438",2015,215284,"Total","Full-time",NA,NA,724,20,"Four or more years","Total","First-time","Total",748,398,0,272,119,748,398
"3439",2015,215293,"Total","Full-time",NA,NA,4010,15,"Four or more years","Total","First-time","Total",3698,3009,0,600,438,3698,3009
"3440",2015,215309,"Total","Full-time",NA,NA,141,10,"Less than four years","Total","First-time","Total",133,22,0,80,10,133,22
"3441",2015,215336,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",28,20,0,26,20,28,20
"3442",2015,215381,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",106,70,0,48,29,106,70
"3443",2015,215390,"Total","Full-time",NA,NA,47,12,"Less than four years","Total","First-time","Total",88,72,0,21,17,88,72
"3444",2015,215415,"Total","Full-time",NA,NA,711,20,"Less than four years","Total","First-time","Total",712,414,0,529,285,712,414
"3445",2015,215424,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3446",2015,215433,"Total","Full-time",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3447",2015,215442,"Total","Full-time",NA,NA,588,13,"Four or more years","Total","First-time","Total",536,311,0,193,97,536,311
"3448",2015,215479,"Total","Full-time",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3449",2015,215530,"Total","Full-time",NA,NA,NA,7,"Less than four years","Total","First-time","Total",16,12,0,11,8,16,12
"3450",2015,215585,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",254,38,0,182,21,254,38
"3451",2015,215594,"Total","Full-time",NA,NA,28,6,"Less than four years","Total","First-time","Total",26,15,0,14,9,26,15
"3452",2015,215619,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3453",2015,215628,"Total","Full-time",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3454",2015,215637,"Total","Full-time",NA,NA,167,23,"Four or more years","Total","First-time","Total",327,175,0,156,96,327,175
"3455",2015,215646,"Total","Full-time",NA,NA,NA,43,"Less than four years","Total","First-time","Total",284,139,0,205,114,284,139
"3456",2015,215655,"Total","Full-time",NA,NA,865,15,"Four or more years","Total","First-time","Total",896,549,0,344,185,896,549
"3457",2015,215682,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",111,91,0,73,60,111,91
"3458",2015,215691,"Total","Full-time",NA,NA,135,10,"Four or more years","Total","First-time","Total",101,48,0,69,32,101,48
"3459",2015,215743,"Total","Full-time",NA,NA,407,14,"Four or more years","Total","First-time","Total",429,288,0,37,34,429,288
"3460",2015,215770,"Total","Full-time",NA,NA,1174,13,"Four or more years","Total","First-time","Total",1212,965,0,144,88,1212,965
"3461",2015,215798,"Total","Full-time",NA,NA,444,12,"Four or more years","Total","First-time","Total",422,307,0,157,111,422,307
"3462",2015,215813,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3463",2015,215886,"Total","Full-time",NA,NA,NA,4,"Less than four years","Total","First-time","Total",79,75,0,79,75,79,75
"3464",2015,215929,"Total","Full-time",NA,NA,917,10,"Four or more years","Total","First-time","Total",950,754,0,228,173,950,754
"3465",2015,215947,"Total","Full-time",NA,NA,392,14,"Four or more years","Total","First-time","Total",372,210,0,151,74,372,210
"3466",2015,215974,"Total","Full-time",NA,NA,6,9,"Less than four years","Total","First-time","Total",16,8,0,7,3,16,8
"3467",2015,215983,"Total","Full-time",NA,NA,NA,5,"Less than four years","Total","First-time","Total",27,23,0,10,10,27,23
"3468",2015,215992,"Total","Full-time",NA,NA,49,8,"Less than four years","Total","First-time","Total",83,47,0,67,34,83,47
"3469",2015,216010,"Total","Full-time",NA,NA,1384,20,"Four or more years","Total","First-time","Total",1706,957,0,522,262,1706,957
"3470",2015,216038,"Total","Full-time",NA,NA,1522,22,"Four or more years","Total","First-time","Total",1562,1067,0,528,323,1562,1067
"3471",2015,216047,"Total","Full-time",NA,NA,NA,7,"Four or more years","Total","First-time","Total",15,12,0,5,3,15,12
"3472",2015,216074,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",80,71,0,38,29,80,71
"3473",2015,216083,"Total","Full-time",NA,NA,140,8,"Less than four years","Total","First-time","Total",285,168,0,154,93,285,168
"3474",2015,216162,"Total","Full-time",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3475",2015,216223,"Total","Full-time",NA,NA,NA,9,"Less than four years","Total","First-time","Total",54,41,0,46,34,54,41
"3476",2015,216278,"Total","Full-time",NA,NA,666,12,"Four or more years","Total","First-time","Total",641,472,0,149,105,641,472
"3477",2015,216287,"Total","Full-time",NA,NA,407,8,"Four or more years","Total","First-time","Total",387,364,0,52,49,387,364
"3478",2015,216296,"Total","Full-time",NA,NA,423,18,"Less than four years","Total","First-time","Total",402,244,0,221,121,402,244
"3479",2015,216311,"Total","Full-time",NA,NA,36,18,"Four or more years","Total","First-time","Total",32,19,0,11,6,32,19
"3480",2015,216339,"Total","Full-time",NA,NA,4892,14,"Four or more years","Total","First-time","Total",4305,3051,0,1330,889,4305,3051
"3481",2015,216348,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3482",2015,216357,"Total","Full-time",NA,NA,206,10,"Four or more years","Total","First-time","Total",351,148,0,178,62,351,148
"3483",2015,216366,"Total","Full-time",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3484",2015,216418,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",209,111,0,191,94,209,111
"3485",2015,216427,"Total","Full-time",NA,NA,NA,5,"Less than four years","Total","First-time","Total",31,25,0,26,20,31,25
"3486",2015,216436,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",101,66,0,71,50,101,66
"3487",2015,216445,"Total","Full-time",NA,NA,NA,11,"Less than four years","Total","First-time","Total",81,70,0,54,47,81,70
"3488",2015,216454,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",80,64,0,50,39,80,64
"3489",2015,216463,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3490",2015,216524,"Total","Full-time",NA,NA,429,12,"Four or more years","Total","First-time","Total",441,344,0,130,104,441,344
"3491",2015,216542,"Total","Full-time",NA,NA,125,13,"Four or more years","Total","First-time","Total",147,57,0,85,28,147,57
"3492",2015,216551,"Total","Full-time",NA,NA,155,17,"Less than four years","Total","First-time","Total",166,43,0,101,26,166,43
"3493",2015,216579,"Total","Full-time",NA,NA,NA,23,"Less than four years","Total","First-time","Total",105,70,0,70,43,105,70
"3494",2015,216597,"Total","Full-time",NA,NA,1699,12,"Four or more years","Total","First-time","Total",1647,1488,0,252,236,1647,1488
"3495",2015,216630,"Total","Full-time",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3496",2015,216649,"Total","Full-time",NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3497",2015,216667,"Total","Full-time",NA,NA,389,11,"Four or more years","Total","First-time","Total",395,300,0,113,84,395,300
"3498",2015,216694,"Total","Full-time",NA,NA,356,12,"Four or more years","Total","First-time","Total",401,242,0,168,85,401,242
"3499",2015,216746,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",102,88,0,32,29,102,88
"3500",2015,216764,"Total","Full-time",NA,NA,2381,19,"Four or more years","Total","First-time","Total",2060,1444,0,461,281,2060,1444
"3501",2015,216773,"Total","Full-time",NA,NA,13,10,"Less than four years","Total","First-time","Total",6,5,0,4,3,6,5
"3502",2015,216782,"Total","Full-time",NA,NA,65,11,"Less than four years","Total","First-time","Total",118,78,0,76,37,118,78
"3503",2015,216807,"Total","Full-time",NA,NA,299,10,"Four or more years","Total","First-time","Total",402,286,0,154,97,402,286
"3504",2015,216816,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3505",2015,216825,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",1072,153,0,558,63,1072,153
"3506",2015,216852,"Total","Full-time",NA,NA,846,12,"Four or more years","Total","First-time","Total",718,407,0,282,130,718,407
"3507",2015,216931,"Total","Full-time",NA,NA,581,15,"Four or more years","Total","First-time","Total",499,307,0,186,107,499,307
"3508",2015,217013,"Total","Full-time",NA,NA,116,10,"Four or more years","Total","First-time","Total",96,57,0,40,19,96,57
"3509",2015,217040,"Total","Full-time",NA,NA,NA,9,"Four or more years","Total","First-time","Total",20,3,0,8,2,20,3
"3510",2015,217059,"Total","Full-time",NA,NA,898,16,"Four or more years","Total","First-time","Total",1231,745,0,301,161,1231,745
"3511",2015,217077,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",845,556,0,575,391,845,556
"3512",2015,217086,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3513",2015,217095,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3514",2015,217156,"Total","Full-time",NA,NA,1615,9,"Four or more years","Total","First-time","Total",1495,1428,0,256,238,1495,1428
"3515",2015,217165,"Total","Full-time",NA,NA,908,13,"Four or more years","Total","First-time","Total",830,639,0,121,94,830,639
"3516",2015,217235,"Total","Full-time",NA,NA,1987,20,"Four or more years","Total","First-time","Total",1996,1230,0,750,360,1996,1230
"3517",2015,217305,"Total","Full-time",NA,NA,NA,13,"Four or more years","Total","First-time","Total",594,319,0,323,153,594,319
"3518",2015,217323,"Total","Full-time",NA,NA,NA,8,"Less than four years","Total","First-time","Total",382,287,0,329,247,382,287
"3519",2015,217350,"Total","Full-time",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3520",2015,217402,"Total","Full-time",NA,NA,1033,12,"Four or more years","Total","First-time","Total",1102,918,0,172,132,1102,918
"3521",2015,217420,"Total","Full-time",NA,NA,1087,14,"Four or more years","Total","First-time","Total",1093,518,0,509,216,1093,518
"3522",2015,217475,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",1483,245,0,583,80,1483,245
"3523",2015,217484,"Total","Full-time",NA,NA,2987,17,"Four or more years","Total","First-time","Total",2731,1716,0,724,409,2731,1716
"3524",2015,217493,"Total","Full-time",NA,NA,464,9,"Four or more years","Total","First-time","Total",474,426,0,72,59,474,426
"3525",2015,217518,"Total","Full-time",NA,NA,1023,14,"Four or more years","Total","First-time","Total",1012,644,0,147,77,1012,644
"3526",2015,217536,"Total","Full-time",NA,NA,563,13,"Four or more years","Total","First-time","Total",592,405,0,139,91,592,405
"3527",2015,217572,"Total","Full-time",NA,NA,NA,7,"Less than four years","Total","First-time","Total",1,1,1,1,1,1,1
"3528",2015,217581,"Total","Full-time",NA,NA,NA,11,"Less than four years","Total","First-time","Total",57,47,0,36,27,57,47
"3529",2015,217606,"Total","Full-time",NA,NA,NA,17,"Four or more years","Total","First-time","Total",60,32,0,40,20,60,32
"3530",2015,217615,"Total","Full-time",NA,NA,NA,14,"Less than four years","Total","First-time","Total",254,31,0,168,13,254,31
"3531",2015,217624,"Total","Full-time",NA,NA,NA,15,"Four or more years","Total","First-time","Total",320,59,0,250,49,320,59
"3532",2015,217633,"Total","Full-time",NA,NA,661,16,"Four or more years","Total","First-time","Total",502,265,0,240,122,502,265
"3533",2015,217688,"Total","Full-time",NA,NA,753,15,"Four or more years","Total","First-time","Total",632,228,0,343,87,632,228
"3534",2015,217712,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",165,19,0,104,12,165,19
"3535",2015,217721,"Total","Full-time",NA,NA,NA,18,"Four or more years","Total","First-time","Total",875,189,0,783,151,875,189
"3536",2015,217749,"Total","Full-time",NA,NA,608,12,"Four or more years","Total","First-time","Total",629,395,0,276,173,629,395
"3537",2015,217776,"Total","Full-time",NA,NA,195,18,"Four or more years","Total","First-time","Total",153,92,0,149,92,153,92
"3538",2015,217794,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",66,58,0,54,47,66,58
"3539",2015,217819,"Total","Full-time",NA,NA,2229,15,"Four or more years","Total","First-time","Total",2001,1384,0,395,255,2001,1384
"3540",2015,217828,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",48,32,0,42,27,48,32
"3541",2015,217837,"Total","Full-time",NA,NA,NA,14,"Less than four years","Total","First-time","Total",211,31,0,174,22,211,31
"3542",2015,217864,"Total","Full-time",NA,NA,602,13,"Four or more years","Total","First-time","Total",617,428,0,158,103,617,428
"3543",2015,217873,"Total","Full-time",NA,NA,449,13,"Four or more years","Total","First-time","Total",423,237,0,360,197,423,237
"3544",2015,217882,"Total","Full-time",NA,NA,3439,18,"Four or more years","Total","First-time","Total",2977,2414,0,497,350,2977,2414
"3545",2015,217891,"Total","Full-time",NA,NA,NA,10,"Four or more years","Total","First-time","Total",82,39,0,82,39,82,39
"3546",2015,217907,"Total","Full-time",NA,NA,221,12,"Four or more years","Total","First-time","Total",187,90,0,98,46,187,90
"3547",2015,217925,"Total","Full-time",NA,NA,95,14,"Four or more years","Total","First-time","Total",107,79,0,70,55,107,79
"3548",2015,217934,"Total","Full-time",NA,NA,185,13,"Four or more years","Total","First-time","Total",209,105,0,118,57,209,105
"3549",2015,217961,"Total","Full-time",NA,NA,217,12,"Four or more years","Total","First-time","Total",168,93,0,89,42,168,93
"3550",2015,217989,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",350,40,0,273,20,350,40
"3551",2015,217998,"Total","Full-time",NA,NA,215,12,"Four or more years","Total","First-time","Total",144,91,0,55,33,144,91
"3552",2015,218025,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",825,100,0,589,58,825,100
"3553",2015,218043,"Total","Full-time",NA,NA,NA,8,"Less than four years","Total","First-time","Total",28,21,0,26,21,28,21
"3554",2015,218061,"Total","Full-time",NA,NA,737,15,"Four or more years","Total","First-time","Total",737,296,0,449,189,737,296
"3555",2015,218070,"Total","Full-time",NA,NA,671,11,"Four or more years","Total","First-time","Total",686,576,0,110,83,686,576
"3556",2015,218113,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",1568,171,0,934,75,1568,171
"3557",2015,218140,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",617,143,0,387,89,617,143
"3558",2015,218159,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",12,6,0,12,6,12,6
"3559",2015,218195,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",17,12,0,14,9,17,12
"3560",2015,218229,"Total","Full-time",NA,NA,558,14,"Four or more years","Total","First-time","Total",685,294,0,336,129,685,294
"3561",2015,218238,"Total","Full-time",NA,NA,425,18,"Four or more years","Total","First-time","Total",275,92,0,102,34,275,92
"3562",2015,218265,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3563",2015,218335,"Total","Full-time",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3564",2015,218353,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",1568,142,0,860,63,1568,142
"3565",2015,218399,"Total","Full-time",NA,NA,NA,15,"Four or more years","Total","First-time","Total",319,71,0,293,63,319,71
"3566",2015,218414,"Total","Full-time",NA,NA,267,14,"Four or more years","Total","First-time","Total",288,127,0,112,41,288,127
"3567",2015,218441,"Total","Full-time",NA,NA,542,14,"Four or more years","Total","First-time","Total",481,275,0,248,141,481,275
"3568",2015,218487,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",437,55,0,338,37,437,55
"3569",2015,218520,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",739,113,0,566,77,739,113
"3570",2015,218539,"Total","Full-time",NA,NA,262,11,"Four or more years","Total","First-time","Total",304,190,0,50,28,304,190
"3571",2015,218645,"Total","Full-time",NA,NA,583,15,"Four or more years","Total","First-time","Total",587,249,0,277,133,587,249
"3572",2015,218654,"Total","Full-time",NA,NA,492,17,"Four or more years","Total","First-time","Total",394,96,0,167,56,394,96
"3573",2015,218663,"Total","Full-time",NA,NA,5156,19,"Four or more years","Total","First-time","Total",4421,3237,0,950,619,4421,3237
"3574",2015,218672,"Total","Full-time",NA,NA,336,18,"Less than four years","Total","First-time","Total",341,54,0,170,24,341,54
"3575",2015,218681,"Total","Full-time",NA,NA,234,19,"Less than four years","Total","First-time","Total",275,69,0,196,49,275,69
"3576",2015,218690,"Total","Full-time",NA,NA,184,16,"Less than four years","Total","First-time","Total",215,47,0,98,22,215,47
"3577",2015,218706,"Total","Full-time",NA,NA,91,15,"Less than four years","Total","First-time","Total",99,14,0,76,9,99,14
"3578",2015,218724,"Total","Full-time",NA,NA,2359,18,"Four or more years","Total","First-time","Total",1996,832,0,790,310,1996,832
"3579",2015,218733,"Total","Full-time",NA,NA,490,17,"Four or more years","Total","First-time","Total",816,314,0,645,226,816,314
"3580",2015,218742,"Total","Full-time",NA,NA,800,17,"Four or more years","Total","First-time","Total",838,351,0,403,203,838,351
"3581",2015,218751,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582",2015,218821,"Total","Full-time",NA,NA,440,19,"Less than four years","Total","First-time","Total",465,185,0,243,89,465,185
"3583",2015,218830,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",886,170,0,601,95,886,170
"3584",2015,218858,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",397,52,0,309,32,397,52
"3585",2015,218867,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",15,9,0,14,9,15,9
"3586",2015,218885,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",1788,423,0,745,139,1788,423
"3587",2015,218894,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",1891,198,0,1142,107,1891,198
"3588",2015,218919,"Total","Full-time",NA,NA,104,12,"Four or more years","Total","First-time","Total",238,62,0,218,58,238,62
"3589",2015,218955,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",96,17,0,74,12,96,17
"3590",2015,218964,"Total","Full-time",NA,NA,1088,14,"Four or more years","Total","First-time","Total",959,558,0,419,224,959,558
"3591",2015,218973,"Total","Full-time",NA,NA,442,11,"Four or more years","Total","First-time","Total",429,343,0,102,94,429,343
"3592",2015,218991,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",865,116,0,550,55,865,116
"3593",2015,219000,"Total","Full-time",NA,NA,367,10,"Four or more years","Total","First-time","Total",418,295,0,139,94,418,295
"3594",2015,219037,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",53,31,0,37,20,53,31
"3595",2015,219046,"Total","Full-time",NA,NA,470,19,"Four or more years","Total","First-time","Total",648,252,0,257,88,648,252
"3596",2015,219055,"Total","Full-time",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3597",2015,219082,"Total","Full-time",NA,NA,324,18,"Four or more years","Total","First-time","Total",314,123,0,124,42,314,123
"3598",2015,219091,"Total","Full-time",NA,NA,177,10,"Four or more years","Total","First-time","Total",170,81,0,71,40,170,81
"3599",2015,219125,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",52,33,0,32,16,52,33
"3600",2015,219143,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",657,467,0,290,180,657,467
"3601",2015,219170,"Total","Full-time",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3602",2015,219189,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",371,257,0,151,103,371,257
"3603",2015,219198,"Total","Full-time",NA,NA,101,11,"Four or more years","Total","First-time","Total",120,57,0,62,25,120,57
"3604",2015,219204,"Total","Full-time",NA,NA,NA,12,"Four or more years","Total","First-time","Total",51,11,0,31,8,51,11
